time_s,dist_m,vel_ms,accel_ms2
0.0000,0.0000,0.0000,-0.0003
0.0200,0.0000,-0.0000,-0.0003
0.0400,0.0000,-0.0000,-0.0003
0.0600,0.0000,-0.0000,-0.0003
0.0800,0.0000,-0.0000,-0.0003
0.1000,0.0000,-0.0000,-0.0004
0.1200,0.0000,-0.0000,-0.0004
0.1400,0.0000,-0.0000,-0.0004
0.1600,0.0000,-0.0000,-0.0004
0.1800,0.0000,-0.0000,-0.0004
0.2000,0.0000,-0.0000,-0.0005
0.2200,0.0000,-0.0000,-0.0005
0.2400,0.0000,0.0000,-0.0005
0.2600,0.0000,0.0000,-0.0005
0.2800,0.0000,0.0000,-0.0005
0.3000,0.0000,0.0000,-0.0005
0.3200,0.0000,0.0000,-0.0006
0.3400,0.0000,0.0000,-0.0006
0.3600,0.0000,0.0000,-0.0006
0.3800,0.0000,0.0000,-0.0006
0.4000,0.0000,0.0000,-0.0006
0.4200,0.0000,0.0000,-0.0006
0.4400,0.0000,0.0000,-0.0006
0.4600,0.0000,-0.0000,-0.0006
0.4800,0.0000,-0.0000,-0.0006
0.5000,0.0000,-0.0000,-0.0006
0.5200,0.0000,-0.0000,-0.0006
0.5400,0.0000,-0.0000,-0.0006
0.5600,0.0000,-0.0000,-0.0006
0.5800,0.0000,-0.0000,-0.0005
0.6000,0.0000,-0.0000,-0.0005
0.6200,0.0000,-0.0000,-0.0005
0.6400,0.0000,-0.0000,-0.0005
0.6600,0.0000,0.0000,-0.0005
0.6800,0.0000,0.0000,-0.0004
0.7000,0.0000,0.0000,-0.0004
0.7200,0.0000,0.0000,-0.0004
0.7400,0.0000,0.0001,-0.0003
0.7600,0.0000,0.0001,-0.0003
0.7800,0.0000,0.0001,-0.0003
0.8000,0.0000,0.0001,-0.0002
0.8200,0.0000,0.0001,-0.0002
0.8400,0.0000,0.0000,-0.0001
0.8600,0.0000,0.0000,-0.0001
0.8800,0.0000,-0.0000,-0.0000
0.9000,0.0000,-0.0001,0.0000
0.9200,0.0000,-0.0002,0.0001
0.9400,0.0000,-0.0003,0.0002
0.9600,0.0000,-0.0004,0.0002
0.9800,0.0000,-0.0004,0.0003
1.0000,0.0001,-0.0005,0.0004
1.0200,0.0000,-0.0006,0.0004
1.0400,0.0001,-0.0006,0.0005
1.0600,0.0001,-0.0007,0.0006
1.0800,0.0000,-0.0007,0.0006
1.1000,0.0000,-0.0007,0.0007
1.1200,0.0000,-0.0006,0.0008
1.1400,0.0000,-0.0006,0.0008
1.1600,0.0000,-0.0005,0.0009
1.1800,0.0000,-0.0004,0.0010
1.2000,0.0000,-0.0003,0.0010
1.2200,0.0000,-0.0002,0.0011
1.2400,0.0000,-0.0001,0.0012
1.2600,0.0000,-0.0001,0.0012
1.2800,0.0000,-0.0000,0.0013
1.3000,0.0000,0.0000,0.0013
1.3200,0.0000,0.0001,0.0014
1.3400,0.0000,0.0001,0.0014
1.3600,0.0000,0.0001,0.0015
1.3800,0.0000,0.0001,0.0015
